"","lottery","eat_steak","cook_steak"
"1","Lottery A","Yes","Medium rare"
"2","Lottery A","Yes","Rare"
"3","Lottery B","Yes","Medium"
"4","Lottery B","Yes","Medium"
"5","Lottery A","Yes","Medium rare"
"6","Lottery A","No",""
"7","Lottery A","Yes","Medium rare"
"8","Lottery A","Yes","Medium"
"9","Lottery B","Yes","Medium rare"
"10","Lottery B","Yes","Medium rare"
"11","Lottery A","Yes","Medium rare"
"12","Lottery B","Yes","Medium"
"13","Lottery A","Yes","Rare"
"14","Lottery B","Yes","Medium Well"
"15","Lottery A","Yes","Medium Well"
"16","Lottery A","Yes","Medium"
"17","Lottery B","No",""
"18","Lottery A","Yes","Medium rare"
"19","Lottery B","No",""
"20","Lottery B","Yes","Medium rare"
"21","Lottery A","Yes","Medium rare"
"22","Lottery A","Yes","Medium Well"
"23","Lottery B","Yes","Medium rare"
"24","Lottery B","Yes","Medium rare"
"25","Lottery A","Yes","Medium Well"
"26","Lottery B","Yes","Medium"
"27","Lottery B","Yes","Medium rare"
"28","Lottery A","Yes","Medium"
"29","Lottery A","Yes","Medium"
"30","Lottery B","Yes","Medium"
"31","Lottery A","No",""
"32","Lottery B","No",""
"33","Lottery A","Yes","Medium"
"34","Lottery B","Yes","Medium rare"
"35","Lottery A","Yes","Medium"
"36","Lottery B","Yes","Well"
"37","Lottery A","No",""
"38","Lottery B","Yes","Medium"
"39","Lottery A","Yes","Medium"
"40","Lottery A","No",""
"41","Lottery A","Yes","Medium"
"42","Lottery A","No",""
"43","Lottery A","Yes","Medium"
"44","Lottery B","No",""
"45","Lottery B","Yes","Medium"
"46","Lottery B","Yes","Medium rare"
"47","Lottery B","Yes","Medium"
"48","Lottery A","Yes","Medium Well"
"49","Lottery B","Yes","Medium"
"50","Lottery A","No",""
"51","Lottery B","No",""
"52","Lottery A","Yes","Medium rare"
"53","Lottery B","Yes","Medium Well"
"54","Lottery B","Yes","Medium Well"
"55","Lottery A","Yes","Medium Well"
"56","Lottery A","Yes","Medium rare"
"57","Lottery A","Yes","Medium"
"58","Lottery A","Yes","Medium rare"
"59","Lottery B","Yes","Medium"
"60","Lottery A","",""
"61","Lottery A","Yes","Medium"
"62","Lottery B","Yes","Medium rare"
"63","Lottery A","Yes","Medium"
"64","Lottery B","Yes","Medium rare"
"65","Lottery A","Yes","Medium rare"
"66","Lottery A","Yes","Well"
"67","Lottery B","",""
"68","Lottery B","Yes","Medium Well"
"69","Lottery B","Yes","Medium"
"70","Lottery B","Yes","Medium rare"
"71","","Yes","Medium rare"
"72","Lottery B","No",""
"73","Lottery A","Yes","Medium"
"74","Lottery B","Yes","Medium rare"
"75","Lottery B","Yes","Rare"
"76","Lottery A","Yes","Medium rare"
"77","Lottery A","Yes","Medium"
"78","Lottery A","Yes","Medium rare"
"79","Lottery A","Yes","Medium rare"
"80","Lottery A","Yes","Medium"
"81","Lottery B","Yes","Medium Well"
"82","Lottery A","No",""
"83","Lottery B","Yes","Medium rare"
"84","Lottery A","No",""
"85","Lottery B","Yes","Medium rare"
"86","Lottery B","Yes","Medium Well"
"87","Lottery B","Yes","Rare"
"88","Lottery A","Yes","Rare"
"89","Lottery A","Yes","Medium rare"
"90","Lottery B","Yes","Medium Well"
"91","Lottery A","Yes","Medium"
"92","Lottery B","Yes","Medium rare"
"93","Lottery B","No",""
"94","Lottery A","No",""
"95","Lottery B","Yes","Medium rare"
"96","Lottery A","Yes","Medium rare"
"97","Lottery B","Yes","Medium rare"
"98","Lottery A","Yes","Medium rare"
"99","Lottery A","Yes","Medium"
"100","Lottery A","No",""
"101","Lottery B","Yes","Medium rare"
"102","Lottery B","No",""
"103","Lottery A","Yes","Medium Well"
"104","Lottery B","Yes","Medium"
"105","Lottery B","Yes","Medium Well"
"106","Lottery A","No",""
"107","Lottery A","Yes","Well"
"108","","Yes","Medium"
"109","Lottery A","Yes","Medium rare"
"110","Lottery B","Yes","Medium rare"
"111","Lottery A","No",""
"112","Lottery B","No",""
"113","Lottery B","Yes","Medium rare"
"114","Lottery A","No",""
"115","Lottery A","Yes","Medium"
"116","Lottery A","Yes","Well"
"117","Lottery A","No",""
"118","Lottery A","Yes","Medium"
"119","Lottery A","Yes","Rare"
"120","Lottery A","Yes","Medium Well"
"121","Lottery A","Yes","Medium Well"
"122","Lottery B","Yes","Medium"
"123","Lottery B","No",""
"124","Lottery B","Yes","Medium"
"125","Lottery B","Yes","Medium rare"
"126","Lottery B","Yes","Medium"
"127","Lottery B","No",""
"128","Lottery A","No",""
"129","Lottery A","Yes","Medium"
"130","Lottery A","Yes","Medium"
"131","Lottery A","Yes","Medium rare"
"132","Lottery A","Yes","Medium Well"
"133","Lottery A","No",""
"134","Lottery B","Yes","Medium rare"
"135","Lottery B","No",""
"136","Lottery B","Yes","Medium Well"
"137","Lottery A","No",""
"138","Lottery B","Yes","Medium Well"
"139","Lottery A","Yes","Medium"
"140","Lottery B","Yes","Medium rare"
"141","Lottery B","Yes","Medium"
"142","Lottery B","No",""
"143","Lottery A","Yes","Medium"
"144","Lottery B","Yes","Medium Well"
"145","Lottery B","No",""
"146","Lottery B","Yes","Medium"
"147","Lottery B","Yes","Medium"
"148","Lottery B","Yes","Medium rare"
"149","Lottery A","Yes","Medium rare"
"150","Lottery B","Yes","Medium"
"151","Lottery B","Yes","Rare"
"152","Lottery B","Yes","Medium rare"
"153","Lottery B","Yes","Well"
"154","Lottery A","Yes","Medium rare"
"155","Lottery A","Yes","Medium Well"
"156","Lottery A","Yes","Well"
"157","Lottery A","Yes","Medium rare"
"158","Lottery B","Yes","Medium"
"159","Lottery A","No",""
"160","Lottery B","No",""
"161","Lottery B","Yes","Medium"
"162","Lottery B","Yes","Medium rare"
"163","Lottery B","Yes","Medium rare"
"164","Lottery B","Yes","Medium rare"
"165","Lottery B","No",""
"166","Lottery B","Yes","Rare"
"167","Lottery B","Yes","Well"
"168","Lottery B","Yes","Medium"
"169","Lottery B","Yes","Medium"
"170","Lottery A","Yes","Medium"
"171","Lottery B","Yes","Medium rare"
"172","Lottery A","Yes","Medium Well"
"173","Lottery B","Yes","Medium rare"
"174","Lottery A","Yes","Well"
"175","Lottery B","No",""
"176","Lottery A","Yes","Well"
"177","Lottery B","Yes","Medium"
"178","Lottery B","Yes","Medium"
"179","Lottery B","No",""
"180","Lottery B","No",""
"181","Lottery B","Yes","Medium rare"
"182","Lottery A","No",""
"183","Lottery B","Yes","Well"
"184","Lottery B","Yes","Medium Well"
"185","Lottery B","Yes","Medium rare"
"186","Lottery B","Yes","Well"
"187","Lottery B","No",""
"188","Lottery B","Yes","Medium Well"
"189","Lottery A","Yes","Medium Well"
"190","Lottery B","Yes","Medium Well"
"191","Lottery A","No",""
"192","Lottery A","Yes","Well"
"193","Lottery B","Yes","Rare"
"194","Lottery B","Yes","Medium rare"
"195","Lottery A","Yes","Medium"
"196","Lottery B","Yes","Medium rare"
"197","Lottery A","Yes","Rare"
"198","Lottery B","Yes","Medium rare"
"199","Lottery B","Yes","Well"
"200","Lottery B","No",""
"201","Lottery A","No",""
"202","Lottery B","No",""
"203","Lottery A","Yes","Medium rare"
"204","Lottery A","Yes","Medium Well"
"205","Lottery A","No",""
"206","Lottery A","Yes","Medium rare"
"207","Lottery A","No",""
"208","Lottery B","",""
"209","Lottery B","No",""
"210","Lottery A","Yes","Medium rare"
"211","Lottery B","No",""
"212","Lottery B","Yes","Well"
"213","Lottery B","Yes","Well"
"214","Lottery B","Yes","Medium rare"
"215","Lottery A","Yes","Medium rare"
"216","Lottery B","No",""
"217","Lottery B","Yes","Medium rare"
"218","Lottery A","Yes","Medium"
"219","Lottery A","Yes","Medium"
"220","Lottery B","Yes","Medium rare"
"221","Lottery A","Yes","Medium"
"222","Lottery B","Yes","Medium Well"
"223","Lottery B","Yes","Medium rare"
"224","Lottery B","Yes","Medium Well"
"225","Lottery B","No",""
"226","Lottery B","Yes","Medium rare"
"227","Lottery A","Yes","Medium"
"228","Lottery B","Yes","Medium rare"
"229","Lottery A","Yes","Medium Well"
"230","Lottery A","Yes","Medium"
"231","Lottery B","No",""
"232","Lottery B","Yes","Medium rare"
"233","Lottery B","Yes","Well"
"234","Lottery A","Yes","Medium"
"235","Lottery A","Yes","Medium"
"236","Lottery B","Yes","Medium rare"
"237","Lottery B","Yes","Well"
"238","Lottery A","","Medium Well"
"239","Lottery A","Yes","Medium Well"
"240","Lottery A","Yes","Medium rare"
"241","Lottery B","Yes","Medium"
"242","Lottery B","Yes","Medium Well"
"243","Lottery B","Yes","Medium"
"244","Lottery B","Yes","Medium Well"
"245","Lottery B","Yes","Medium"
"246","Lottery B","No",""
"247","Lottery B","Yes","Medium"
"248","Lottery A","Yes","Medium rare"
"249","Lottery B","Yes","Rare"
"250","Lottery A","Yes","Medium rare"
"251","Lottery A","Yes","Well"
"252","Lottery B","Yes","Medium Well"
"253","Lottery B","Yes","Medium rare"
"254","","Yes","Medium rare"
"255","Lottery B","Yes","Medium rare"
"256","Lottery A","Yes","Rare"
"257","Lottery B","Yes","Medium"
"258","Lottery A","Yes","Medium"
"259","Lottery B","Yes","Medium"
"260","Lottery A","Yes","Rare"
"261","Lottery A","No",""
"262","Lottery B","Yes","Medium rare"
"263","Lottery A","Yes","Medium rare"
"264","Lottery A","No",""
"265","Lottery A","Yes","Medium Well"
"266","Lottery A","Yes","Medium"
"267","Lottery A","Yes","Medium"
"268","Lottery A","No",""
"269","Lottery A","Yes","Medium Well"
"270","Lottery B","Yes","Rare"
"271","Lottery A","Yes","Medium rare"
"272","Lottery B","",""
"273","Lottery A","Yes","Medium Well"
"274","Lottery B","Yes","Medium Well"
"275","","Yes","Medium Well"
"276","Lottery B","Yes","Medium rare"
"277","Lottery A","No",""
"278","Lottery B","Yes","Rare"
"279","Lottery A","No",""
"280","Lottery B","No",""
"281","Lottery B","Yes","Rare"
"282","Lottery B","Yes","Medium"
"283","Lottery A","Yes","Well"
"284","Lottery A","Yes","Medium rare"
"285","Lottery B","Yes","Medium rare"
"286","Lottery A","Yes","Medium"
"287","Lottery B","Yes","Medium rare"
"288","Lottery A","Yes","Medium"
"289","Lottery A","No",""
"290","Lottery B","No",""
"291","Lottery B","No",""
"292","Lottery B","No",""
"293","Lottery A","Yes","Medium rare"
"294","Lottery A","Yes","Medium"
"295","Lottery A","Yes","Medium rare"
"296","Lottery A","No",""
"297","Lottery B","Yes","Medium rare"
"298","Lottery B","No",""
"299","Lottery A","Yes","Medium"
"300","Lottery B","No",""
"301","Lottery B","Yes","Medium rare"
"302","Lottery B","Yes","Medium"
"303","Lottery A","Yes","Medium"
"304","Lottery B","Yes","Medium Well"
"305","Lottery A","No",""
"306","Lottery B","Yes","Medium rare"
"307","Lottery B","Yes","Medium Well"
"308","Lottery B","No",""
"309","Lottery B","Yes","Medium Well"
"310","Lottery A","Yes","Medium rare"
"311","Lottery A","Yes","Medium rare"
"312","Lottery B","Yes","Medium"
"313","Lottery B","Yes","Medium rare"
"314","Lottery B","Yes","Medium Well"
"315","Lottery A","Yes","Medium"
"316","Lottery B","Yes","Medium rare"
"317","Lottery A","Yes","Medium"
"318","Lottery A","No",""
"319","Lottery A","Yes","Medium rare"
"320","Lottery B","Yes","Medium"
"321","Lottery B","Yes","Medium rare"
"322","Lottery B","No",""
"323","Lottery A","Yes","Medium rare"
"324","Lottery B","Yes","Medium"
"325","Lottery B","No",""
"326","Lottery A","Yes","Medium Well"
"327","Lottery A","Yes","Medium rare"
"328","Lottery B","Yes","Medium rare"
"329","Lottery B","Yes","Medium rare"
"330","Lottery A","Yes","Medium"
"331","Lottery A","No",""
"332","Lottery B","Yes","Well"
"333","Lottery B","Yes","Medium rare"
"334","Lottery A","No",""
"335","Lottery B","Yes","Medium"
"336","Lottery A","Yes","Medium rare"
"337","Lottery A","Yes","Medium"
"338","Lottery B","Yes","Medium rare"
"339","Lottery B","Yes","Medium"
"340","Lottery A","Yes","Medium rare"
"341","Lottery B","Yes","Medium"
"342","Lottery B","No",""
"343","Lottery B","Yes","Rare"
"344","Lottery B","Yes","Medium Well"
"345","Lottery B","Yes","Well"
"346","Lottery A","Yes","Medium rare"
"347","Lottery A","No",""
"348","Lottery A","Yes","Well"
"349","Lottery B","Yes","Medium Well"
"350","Lottery A","Yes","Medium"
"351","Lottery A","Yes","Well"
"352","Lottery B","Yes","Medium Well"
"353","Lottery B","Yes","Medium rare"
"354","Lottery B","Yes","Medium rare"
"355","Lottery A","Yes","Medium rare"
"356","Lottery B","Yes","Medium rare"
"357","Lottery B","Yes","Medium Well"
"358","Lottery A","Yes","Well"
"359","Lottery A","Yes","Medium rare"
"360","Lottery A","Yes","Medium rare"
"361","Lottery B","Yes","Medium"
"362","Lottery A","Yes","Medium rare"
"363","Lottery A","Yes","Medium Well"
"364","Lottery A","Yes","Medium Well"
"365","Lottery A","Yes","Medium Well"
"366","Lottery B","No",""
"367","Lottery A","Yes","Medium"
"368","Lottery A","Yes","Medium"
"369","Lottery A","Yes","Medium"
"370","Lottery B","Yes","Medium rare"
"371","Lottery A","No",""
"372","Lottery A","Yes","Well"
"373","Lottery A","Yes","Medium rare"
"374","Lottery A","Yes","Medium rare"
"375","Lottery B","Yes","Medium rare"
"376","Lottery A","Yes","Medium"
"377","Lottery A","Yes","Medium"
"378","Lottery A","Yes","Medium rare"
"379","Lottery A","Yes","Medium rare"
"380","Lottery B","Yes","Medium"
"381","Lottery A","No",""
"382","Lottery B","Yes","Medium rare"
"383","Lottery B","Yes","Medium"
"384","Lottery B","Yes","Medium Well"
"385","Lottery A","Yes","Medium"
"386","Lottery B","Yes","Medium rare"
"387","Lottery A","Yes","Medium"
"388","Lottery A","Yes","Medium rare"
"389","Lottery A","Yes","Medium rare"
"390","Lottery B","No",""
"391","Lottery A","Yes","Medium Well"
"392","Lottery B","Yes","Medium Well"
"393","Lottery B","No",""
"394","Lottery B","Yes","Rare"
"395","Lottery B","Yes","Medium Well"
"396","Lottery B","Yes","Medium"
"397","Lottery B","Yes","Medium rare"
"398","Lottery B","Yes","Medium Well"
"399","Lottery B","Yes","Medium"
"400","Lottery B","Yes","Well"
"401","Lottery A","Yes","Medium"
"402","Lottery B","Yes","Medium"
"403","Lottery A","No",""
"404","Lottery B","Yes","Medium rare"
"405","Lottery B","Yes","Medium"
"406","Lottery A","Yes","Medium rare"
"407","Lottery A","No",""
"408","Lottery A","Yes","Medium Well"
"409","Lottery B","Yes","Medium Well"
"410","Lottery A","Yes","Medium"
"411","Lottery A","Yes","Medium rare"
"412","Lottery A","No",""
"413","Lottery A","Yes","Medium"
"414","Lottery B","No",""
"415","Lottery B","Yes","Medium"
"416","Lottery B","Yes","Medium rare"
"417","Lottery A","Yes","Medium rare"
"418","Lottery B","No",""
"419","Lottery B","No",""
"420","Lottery A","Yes","Medium rare"
"421","Lottery B","No",""
"422","Lottery B","Yes","Well"
"423","Lottery B","Yes","Medium rare"
"424","Lottery B","Yes","Medium"
"425","Lottery A","Yes","Medium rare"
"426","Lottery B","No",""
"427","Lottery A","Yes","Well"
"428","Lottery A","No",""
"429","Lottery A","Yes","Medium"
"430","Lottery B","Yes","Medium Well"
"431","Lottery A","Yes","Medium Well"
"432","Lottery B","Yes","Well"
"433","Lottery B","Yes","Medium Well"
"434","Lottery A","Yes","Medium"
"435","Lottery B","Yes","Medium rare"
"436","Lottery B","Yes","Medium rare"
"437","Lottery B","Yes","Well"
"438","Lottery A","Yes","Medium"
"439","Lottery A","Yes","Medium rare"
"440","Lottery B","Yes","Well"
"441","Lottery B","Yes","Well"
"442","Lottery B","Yes","Medium rare"
"443","Lottery A","No",""
"444","Lottery B","Yes","Medium rare"
"445","Lottery A","Yes","Rare"
"446","Lottery A","Yes","Medium rare"
"447","Lottery A","Yes","Rare"
"448","Lottery A","Yes","Medium rare"
"449","Lottery B","Yes","Medium rare"
"450","Lottery B","Yes","Medium rare"
"451","Lottery A","Yes","Medium"
"452","Lottery A","Yes","Medium"
"453","Lottery B","Yes","Medium Well"
"454","Lottery A","No",""
"455","Lottery A","Yes","Medium rare"
"456","Lottery A","Yes","Medium rare"
"457","Lottery A","Yes","Medium"
"458","Lottery A","Yes","Medium rare"
"459","Lottery B","Yes","Medium"
"460","Lottery B","Yes","Rare"
"461","Lottery B","Yes","Medium rare"
"462","Lottery B","Yes","Medium"
"463","Lottery A","Yes","Medium"
"464","Lottery B","Yes","Medium rare"
"465","Lottery B","Yes","Rare"
"466","Lottery B","Yes","Medium"
"467","Lottery A","Yes","Medium"
"468","Lottery A","Yes","Medium rare"
"469","Lottery A","Yes","Medium rare"
"470","Lottery A","No",""
"471","Lottery B","Yes","Medium"
"472","Lottery B","Yes","Medium rare"
"473","Lottery A","No",""
"474","Lottery B","Yes","Medium rare"
"475","Lottery A","Yes","Medium rare"
"476","Lottery A","",""
"477","Lottery A","Yes","Medium rare"
"478","Lottery B","Yes","Medium"
"479","Lottery A","Yes","Medium"
"480","Lottery A","Yes","Medium rare"
"481","Lottery A","No",""
"482","Lottery B","Yes","Medium"
"483","Lottery B","Yes","Medium Well"
"484","Lottery A","Yes","Medium rare"
"485","Lottery A","Yes","Medium"
"486","Lottery A","Yes","Rare"
"487","Lottery A","No",""
"488","Lottery B","Yes","Medium Well"
"489","Lottery A","Yes","Medium"
"490","Lottery A","Yes","Medium Well"
"491","Lottery A","Yes","Medium Well"
"492","Lottery B","No",""
"493","Lottery B","Yes","Medium"
"494","Lottery B","Yes","Medium"
"495","Lottery B","Yes","Medium rare"
"496","Lottery A","Yes","Medium"
"497","Lottery B","Yes","Medium rare"
"498","Lottery A","","Well"
"499","Lottery A","Yes","Medium Well"
"500","Lottery B","",""
"501","Lottery A","No",""
"502","Lottery B","Yes","Medium rare"
"503","Lottery A","No",""
"504","Lottery B","Yes","Medium rare"
"505","Lottery A","No",""
"506","Lottery B","Yes","Medium rare"
"507","Lottery A","Yes","Medium rare"
"508","Lottery A","",""
"509","Lottery A","Yes","Medium rare"
"510","Lottery A","Yes","Medium Well"
"511","Lottery A","Yes","Medium"
"512","Lottery B","Yes","Medium rare"
"513","Lottery B","Yes","Medium rare"
"514","Lottery A","Yes","Medium"
"515","Lottery A","No",""
"516","Lottery A","Yes","Medium Well"
"517","Lottery A","Yes","Medium"
"518","Lottery B","",""
"519","Lottery B","Yes","Well"
"520","Lottery A","Yes","Medium"
"521","Lottery A","Yes","Medium Well"
"522","Lottery A","No",""
"523","Lottery B","No",""
"524","Lottery B","Yes","Medium rare"
"525","Lottery A","Yes","Medium"
"526","Lottery B","Yes","Well"
"527","Lottery B","No",""
"528","Lottery B","No",""
"529","Lottery A","Yes","Well"
"530","Lottery A","Yes","Medium Well"
"531","Lottery B","No",""
"532","Lottery A","No",""
"533","Lottery A","Yes","Medium rare"
"534","Lottery B","Yes","Medium Well"
"535","Lottery B","Yes","Medium rare"
"536","Lottery A","No",""
"537","Lottery B","Yes","Medium rare"
"538","Lottery A","Yes","Medium"
"539","Lottery A","No",""
"540","Lottery A","Yes","Medium"
"541","Lottery B","No",""
"542","Lottery A","Yes","Medium rare"
"543","Lottery B","Yes","Medium Well"
"544","Lottery A","Yes","Medium Well"
"545","Lottery B","Yes","Medium rare"
"546","Lottery A","No",""
"547","Lottery A","Yes","Medium rare"
"548","Lottery A","No",""
"549","Lottery B","Yes","Medium"
